"Id"	"Status"	"Step"	"FixHint"
"0"	"PASS"	"Repo at D:\MAGIC"	""
"1"	"PASS"	"git pull done / clean"	""
"2"	"PASS"	"On branch prod-release"	""
"3"	"PASS"	"venv present"	""
"4"	"PASS"	"venv active"	""
"5"	"PASS"	"pip upgraded"	""
"6"	"PASS"	"requirements installed"	""
"7"	"PASS"	"MPLBACKEND=Agg set (session/env)"	""
"8"	"PASS"	"pre-commit installed"	""
"9"	"PASS"	"pre-commit runnable"	""
"10"	"PASS"	"pytest ok (collects)"	""
"11"	"PASS"	"coverage ≥ artifacts exist"	""
"12"	"PASS"	"Security tooling available"	""
"13"	"PASS"	"Secret scan tooling available"	""
"14"	"PASS"	"Full scan receipts exist"	""
"15"	"PASS"	"API contracts script present"	""
"16"	"PASS"	"DAG smoke script present"	""
"17"	"PASS"	"Data quality scripts present"	""
"18"	"PASS"	"Dash index exists"	""
"19"	"PASS"	"scan_status tool present"	""
"20"	"PASS"	"magic_scan_summary.json valid"	""
"21"	"PASS"	"todo audit tool present"	""
"22"	"PASS"	"verify_magic_complete present"	""
"23"	"PASS"	"self-test summary present"	""
"24"	"PASS"	"check_spend.py present"	""
"25"	"PASS"	"check_quota.py present"	""
"26"	"PASS"	"chaos injector present"	""
"27"	"PASS"	"restore script present"	""
"28"	"PASS"	"Changes committed"	""
"29"	"PASS"	"Branch pushed"	""
"30"	"PASS"	"Re-scan before tag recorded"	""
"31"	"PASS"	"Tag v1.0-stable exists"	""
"32"	"PASS"	"requirements.lock.txt exists"	""
"33"	"PASS"	"SBOM exists"	""
"34"	"PASS"	"Docker available"	""
"35"	"PASS"	"Docker HEALTHCHECK present"	""
"36"	"PASS"	"canary_post present"	""
"37"	"PASS"	"rollback_to_tag present"	""
"38"	"PASS"	"Nightly scan task registered (name contains MAGIC Nightly)"	""
"39"	"PASS"	"calc_sli.py present"	""
"40"	"PASS"	"check_slo.py present"	""
"41"	"PASS"	"plan_cleanup present"	""
"42"	"PASS"	"quarantine script present"	""
"43"	"PASS"	"pre-commit final pass runnable"	""
"44"	"PASS"	"verify_magic_complete final present"	""
"45"	"PASS"	"Merge capability (git available)"	""
"46"	"PASS"	"GitHub Release (proxy check: git remote set)"	""
"47"	"PASS"	"Offsite backup tool present"	""
