ID	Step	Status	Notes
0	Set-Location D:\MAGIC	PASS	Path: D:\MAGIC
1	git branch	PASS	HEAD=prod-release
2	git remote	PASS	origin	https://github.com/wwowflix/Magic (fetch); origin	https://github.com/wwowflix/Magic (push)
3	python --version	PASS	Python 3.11.9
4	venv exists	PASS	D:\MAGIC\venv
5	requirements.txt	PASS	Found
6	pre-commit install	PASS	.git\hooks\pre-commit active
7	pre-commit --version	PASS	pre-commit 4.3.0
16	CI workflows present	PASS	ci-dashboard-on-release.yml, ci-tests.yml, ci.yml, ci.yml.bak, lint-and-test.yml, pr-ci.yml, pre-commit.yml.bak
17	CODEOWNERS present	PASS	D:\MAGIC\.github\CODEOWNERS
18	PR template present	PASS	D:\MAGIC\.github\PULL_REQUEST_TEMPLATE.md, D:\MAGIC\.github\pull_request_template.md
19	pytest -q	WARN	Skipped (use -Deep)
20	coverage 75%	WARN	Skipped (use -Deep)
21	pip-audit	WARN	Skipped (use -Deep)
22	safety check	WARN	Skipped (use -Deep)
23	bandit -r . -ll	WARN	Skipped (use -Deep)
24	gitleaks detect	WARN	Skipped (use -Deep)
25	detect-secrets scan	WARN	Skipped (use -Deep)
